class,support,mean_prob,empirical_freq,gap,ece
happy,147,0.5447268701328999,0.5424354243542435,0.0022914457786563647,0.06688443086327503
calm,30,0.0900988794821799,0.11070110701107011,-0.02060222752889021,0.06425749821610874
tense,36,0.1361652571778789,0.13284132841328414,0.0033239287645947524,0.036723681849514314
sad,58,0.22900899369447056,0.2140221402214022,0.014986853473068357,0.07916875368288394
