song_id,boundary_distance,entropy,distance_group
1962,0.0,1.0413392598924534,near
1957,0.20000000000000018,0.5789605757099029,near
1553,0.5999999999999996,0.1718020119883028,middle
1194,1.6,0.5749398260641708,far
503,0.7999999999999998,0.0975166588689974,far
1123,1.9,1.221675289711219,far
1000,0.5999999999999996,0.592362100808983,middle
1687,0.09999999999999964,0.5416655846011379,near
161,1.2999999999999998,0.9076235437791016,far
1737,1.4,1.1095912296341692,far
1205,0.7000000000000002,0.1694806239609464,middle
1369,1.5999999999999996,0.0905385104862713,far
1099,0.7000000000000002,0.1315058814170962,middle
1778,0.5999999999999996,1.0108881092583422,middle
493,0.09999999999999964,0.51431536979051,near
787,1.0999999999999996,0.7562975821824293,far
1023,2.1,1.2253078847094816,far
39,0.40000000000000036,0.9639731974850618,middle
78,1.1,0.1528963726996757,far
1515,0.20000000000000018,0.7100860942681052,near
1375,0.5999999999999996,0.3344855387529569,middle
1484,0.5999999999999996,1.2436366519939226,middle
1163,0.2999999999999998,1.0988677329704222,near
1359,1.4,0.8500439260232401,far
1817,1.0,0.5930342715562313,far
1072,0.5,0.2215034926114489,middle
1239,1.2999999999999998,0.1486958450651741,far
356,0.40000000000000036,0.8284589991943445,middle
486,0.7000000000000002,1.36741385938524,middle
733,0.0,1.2154423137417691,near
960,2.7,0.1404208383409477,far
1216,0.2999999999999998,0.1923725302618386,near
1758,0.40000000000000036,0.139626657175955,middle
2000,0.7999999999999998,0.0468189167980998,far
1004,0.2999999999999998,0.8706817035159389,near
173,0.40000000000000036,0.0571855493783982,middle
316,1.5,1.223756874327708,far
1782,0.20000000000000018,0.8849412718592565,near
1833,0.5,1.2472855552896192,middle
1152,0.5999999999999996,0.3944844484491914,middle
1458,0.2999999999999998,0.632696619299078,near
666,0.0,1.075675407529114,near
1617,0.9000000000000004,0.7070396352057632,far
1616,0.20000000000000018,0.0786450364236763,near
73,0.5999999999999996,0.4207093527969208,middle
524,1.0,1.056879583262837,far
1372,0.20000000000000018,0.947773484774064,near
1353,0.2999999999999998,0.1113762082299538,near
1999,0.40000000000000036,0.4221527196610705,middle
1631,0.20000000000000018,0.3139096339794596,near
677,0.2999999999999998,0.5727202986780489,near
628,0.09999999999999964,0.9816525855425696,near
1265,0.5,0.2650177377406941,middle
1111,1.7999999999999998,0.9894104121157046,far
674,1.7999999999999998,1.368531354740025,far
1556,0.2999999999999998,0.0887103117231858,near
242,0.2999999999999998,0.460062889433136,near
1377,1.2999999999999998,0.9617440526396724,far
1172,1.1,0.4768118383274066,far
1013,1.5,0.478898008049624,far
727,0.5,0.7753919539246851,middle
1486,1.2999999999999998,0.9433666030206592,far
1960,0.5,0.3988775313418422,middle
1873,0.2999999999999998,0.3794731283566503,near
1367,2.0999999999999996,0.0793174169454445,far
44,0.09999999999999964,0.5195721813443748,near
128,1.0,0.3332173279612822,far
416,0.20000000000000018,0.9487437649662604,near
660,2.2,0.2365115706752612,far
148,0.0,1.2607672408706043,near
1991,0.0,0.6566971863662175,near
547,0.20000000000000018,0.5668039492468877,near
1819,0.9000000000000004,1.153575206968496,far
1634,0.5,0.0907547152886701,middle
1892,0.09999999999999964,0.1210959971102027,near
223,1.5,0.5968490223399391,far
