bin_left,bin_right,count,acc,conf,gap
0.0,0.1,42,0.11904761904761904,0.02835995452585628,-0.09068766452176276
0.1,0.2,26,0.15384615384615385,0.13795224212736237,-0.01589391171879148
0.2,0.30000000000000004,17,0.35294117647058826,0.24567366162515883,-0.10726751484542943
0.30000000000000004,0.4,13,0.46153846153846156,0.3505399368201883,-0.11099852471827326
0.4,0.5,15,0.4666666666666667,0.45568412206342646,-0.010982544603240219
0.5,0.6000000000000001,18,0.3888888888888889,0.5552930643200382,0.16640417543114933
0.6000000000000001,0.7000000000000001,26,0.6153846153846154,0.6522411163376932,0.0368565009530778
0.7000000000000001,0.8,26,0.8076923076923077,0.7654246491690478,-0.042267658523259866
0.8,0.9,39,0.7948717948717948,0.8589862374795808,0.06411444260778598
0.9,1.0,49,0.8979591836734694,0.9575372212395376,0.059578037566068165
